0,Monocyte
1,1
2,Neut
3,3
4,4
5,5
6,Monocyte
7,7
8,T Cell
9,Microglia
10,10
11,11
12,Neut
13,T Cell
14,14
15,15
16,NK Cell
17,NK Cell
18,NK Cell
19,19
20,NK Cell
21,NK Cell
22,Neut
23,NK Cell
24,T Cell
25,25
26,Monocyte
27,Monocyte
28,28
29,29
30,Monocyte
31,Monocyte
32,Monocyte
33,33
34,Monocyte
35,35
36,Monocyte
37,37
38,38
39,NK Cell
40,40
41,41
42,42
43,43
